1, Lots of Text, 0, Free Plan Templates, Intro, 26 seconds, Free, TextOnly, NULL
2, World Intro, 0, Free Plan Templates, Intro, 10 seconds, Free, TextOnly, NULL
3, Tech Puzzle, 6, Slideshow, Slideshow, 52 seconds, Personal, ImagesLegacy, NULL
4, Envelope Photos, 5, Slideshow, Slideshow, 66 seconds, Personal, ImagesLegacy, NULL
5, Clean Impact, 6, Promo, Promo, 41 seconds, Personal, Images, NULL
7, Christmas Tree, 6, Slideshow, Slideshow, 60 seconds, Personal, ImagesLegacy, NULL
8, Art Gallery, 6, Slideshow, Slideshow, 66 seconds, Expert, ImagesLegacy, NULL
10, Chain Reaction, 0, Free Plan Templates, Free Plan Templates, 19 seconds, Free, Images, NULL
12, Space Grid, 8, Slideshow, Slideshow, 70 seconds, Personal, ImagesLegacy, NULL
13, Box Shuffle, 0, Free Plan Templates, Intro, 15 seconds, Free, Images, NULL
19, Special Words, 4, Special Occasions, Special Occasions, 20 seconds, Personal, ImagesLegacy, NULL
20, Robotic X-form, 0, Free Plan Templates, Intro, 17 seconds, Free, Images, NULL
23, Teams Vs Team, 4, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
31, Cinema Intro, 0, Free Plan Templates, Intro, 10 seconds, Free, TextOnly, NULL
32, Gaming Intro 1, 4, Intro, Intro, 11 seconds, Personal, TextOnlyLegacy, NULL
33, Cinema Intro 2, 4, Intro, Intro, 12 seconds, Personal, TextOnlyLegacy, NULL
35, Pro Intro 1, 4, Intro, Intro, 8 seconds, Personal, ImagesLegacy, NULL
36, Game Intro 2, 6, Intro, Intro, 10 seconds, Personal, TextOnlyLegacy, NULL
37, Falling Words, 4, Intro, Intro, 15 seconds, Personal, TextOnlyLegacy, NULL
38, Exploding Block, 4, Free Plan Templates, Intro, 10 seconds, Free, TextOnlyLegacy, NULL
39, Mining Word, 4, Intro, Intro, 10 seconds, Personal, TextOnlyLegacy, NULL
40, Pro Presenter, 15, Pro Templates, Promo, variable, Expert, Slides, NULL
42, Music Intro, 0, Free Plan Templates, Intro, 13 seconds, Free, TextOnlyLegacy, NULL
43, Love Show, 6, Special Occasions, Special Occasions, 30 seconds, Expert, ImagesLegacy, NULL
44, Game Intro 3, 6, Intro, Intro, 12 seconds, Personal, TextOnlyLegacy, NULL
45, TV Shatter , 6, Intro, Intro, 10 seconds, Expert, ImagesLegacy, NULL
47, Digits Intro, 6, Intro, Intro, 10 seconds, Personal, TextOnlyLegacy, NULL
49, Gaming Intro 4, 6, Intro, Intro, 11 seconds, Personal, TextOnlyLegacy, NULL
50, Hands Intro, 6, Intro, Intro, 8 seconds, Expert, TextOnlyLegacy, NULL
51, Cubism Intro, 6, Intro, Intro, 8 seconds, Expert, ImagesLegacy, NULL
53, Digimpact Pro, 10, Pro Templates, Promo, Variable Timing, Expert, Slides, NULL
54, Sci-Fi Intro, 6, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
55, Spooky Fest, 8, Pranks/Gags, Pranks/Gags, 60 seconds, Personal, ImagesLegacy, NULL
56, Gaming XL, 8, Intro, Intro, 15 Seconds, Personal, ImagesLegacy, NULL
59, Christmas Card, 6, Special Occasions, Special Occasions, 15 seconds, Personal, ImagesLegacy, NULL
60, Gaming XL2, 7, Intro, Intro, 15 seconds, Personal, ImagesLegacy, NULL
61, Multi-Person Ad, 70, Ads, Ads, 30 Seconds, Business, TextOnlyLegacy, NULL
62, Simplicity, 6, Intro, Intro, 10 seconds, Personal, TextOnlyLegacy, NULL
63, Fire Forge Intro, 8, Intro, Intro, 10 seconds, Expert, TextOnlyLegacy, NULL
64, Epic Intro, 8, Intro, Intro, 12 seconds, Expert, ImagesLegacy, NULL
65, Neon Intro, 8, Intro, Intro, 10 seconds, Expert, TextOnlyLegacy, NULL
