1, Lots of Text, 0, Free Plan Templates, Intros, 26 seconds, Free, Images, NULL
2, World Intro, 0, Free Plan Templates, Intros, 10 seconds, Free, Images, NULL
3, Tech Puzzle, 2, Slideshow, Slideshow, 52 seconds, Personal, Images, NULL
4, Envelope Photos, 1, Slideshow, Slideshow, 66 seconds, Personal, Images, NULL
5, Clean Impact, 3, Animated Promo, Animated Promo, 41 seconds, Personal, Images, NULL
7, Christmas Tree, 2, Slideshow, Slideshow, 60 seconds, Personal, Images, NULL
8, Art Gallery, 2, Slideshow, Slideshow, 66 seconds, Expert, Images, NULL
10, Chain Reaction, 0, Intros, Intros, 19 seconds, Personal, Images, NULL
12, Space Grid, 2, Slideshow, Slideshow, 70 seconds, Personal, Images, NULL
13, Box Shuffle, 0, Intros, Intros, 15 seconds, Personal, Images, NULL
19, Special Words, 1, Special Occasions, Special Occasions, 20 seconds, Personal, Images, NULL
20, Robotic X-form, 0, Intros, Intros, 17 seconds, Personal, Images, NULL
23, Teams Vs Team, 0, Intros, Intros, 10 seconds, Personal, Images, NULL
31, Cinema Intro, 0, Free Plan Templates, Intros, 10 seconds, Free, TextOnly, NULL
32, Gaming Intro 1, 1, Intros, Intros, 11 seconds, Personal, TextOnly, NULL
33, Cinema Intro 2, 1, Intros, Intros, 12 seconds, Personal, TextOnly, NULL
35, Pro Intro 1, 2, Intros, Intros, 8 seconds, Personal, Images, NULL
36, Game Intro 2, 1, Intros, Intros, 10 seconds, Personal, TextOnly, NULL
37, Falling Words, 1, Intros, Intros, 15 seconds, Personal, TextOnly, NULL
38, Exploding Block, 1, Intros, Intros, 10 seconds, Personal, TextOnly, NULL
39, Mining Word, 2, Intros, Intros, 10 seconds, Personal, TextOnly, NULL
40, Pro Presenter, 4, Multi-Layout, Multi-Layout, variable, Expert, Slides, NULL
42, Music Intro, 0, Free Plan Templates, Intros, 13 seconds, Free, TextOnly, NULL
43, Love Show, 1, Special Occasions, Special Occasions, 30 seconds, Expert, Images, NULL
44, Game Intro 3, 3, Intros, Intros, 12 seconds, Personal, TextOnly, NULL
45, TV Shatter , 3, Intros, Intros, 10 seconds, Expert, Images, NULL
47, Digits Intro, 2, Intros, Intros, 10 seconds, Personal, TextOnly, NULL
49, Gaming Intro 4, 3, Intros, Intros, 11 seconds, Personal, TextOnly, NULL
50, Hands Intro, 2, Intros, Intros, 8 seconds, Expert, TextOnly, 60
51, Cubism Intro, 2, Intros, Intros, 8 seconds, Expert, Images, NULL
53, Digimpact Pro, 5, Multi-Layout, Multi-Layout, Variable Timing, Expert, Slides, NULL
54, Sci-Fi Intro, 3, Intros, Intros, 10 seconds, Personal, Images, NULL
55, Spooky Fest, 5, Pranks/Gags, Pranks/Gags, 60 seconds, Personal, Images, NULL
56, Gaming XL, 5, Intros, Intros, 15 Seconds, Personal, Images, NULL
59, Christmas Card, 4, Special Occasions, Special Occasions, 15 seconds, Personal, Images, NULL
60, Gaming XL2, 5, Intros, Intros, 15 seconds, Personal, Images, NULL
61, Multi-Person Ad, 70, Ads, Ads, 30 Seconds, Business, TextOnly, NULL
62, Simplicity, 3, Intros, Intros, 10 seconds, Personal, TextOnly, NULL
63, Fire Forge Intro, 4, Intros, Intros, 10 seconds, Expert, TextOnly, NULL
64, Epic Intro, 5, Intros, Intros, 12 seconds, Expert, Images, NULL
65, Neon Intro, 4, Intros, Intros, 10 seconds, Expert, TextOnly, NULL
66, Gaming XL3, 5, Intros, Intros, 10 seconds, Personal, Images, NULL
67, White Angle, 3, Intros, Intros, 10 seconds, Personal, Images, NULL
68, Pro Solutions Ad, 25, Ads, Ads, 30 seconds, Expert, Images, NULL
69, BigCity Intro, 4, Intros, Intros, 10 seconds, Personal, Images, NULL
70, CubePop Intro, 3, Intros, Intros, 11 seconds, Personal, Images, NULL
71, Explainer ProA, 25, Multi-Layout, Multi-Layout, Variable Timing, Business, Slides, NULL
73, Explainer ProB, 25, Multi-Layout, Multi-Layout, Variable timing, Business, Slides, NULL
76, City HQ Intro, 8, Intros, Intros, 10 seconds, Expert, Images, NULL
77, Glamour Intro, 8, Intros, Intros, 10 seconds, Personal, Images, NULL
78, Cat Ad Pro, 30, Ads, Ads, 30 seconds, Expert, TextOnly, NULL
79, Flex Intro, 5, Intros, Intros, 10 seconds, Expert, TextOnly, 85
81, CityHQ Pro, 35, Multi-Layout, Multi-Layout, Variable Timing, Expert, Slides, 85
82, Problem Ad, 40, Ads, Ads, 30 seconds, Business, Images, 85
83, Stellar Intro, 6, Intros, Intros, 13 seconds, Expert, TextOnly, 85
84, Xform Intro, 7, Intros, Intros, 10 seconds, Expert, TextOnly, 85
85, Compete Intro, 5, Intros, Intros, 10 seconds, Expert, Images, NULL
